Référence;Domaine;Sous-fonction;Intitulé;Description (Tableau 5);Classe C;Classe B;Classe A
1.1.2;1. Régulation du chauffage;1.1 Régulation de l'émission;Régulation individuelle par pièce;L’interconnexion de de la régulation terminale avec le système de GTB est intéressant à étudier mais n’est pas imposée par le décret BACS. Le surcoût de cette mise en communication n’est pas à prendre en compte dans le calcul du TRI.;OUI;;
1.2.1;1. Régulation du chauffage;Régulation de l’émission pour système thermo-actif (mode de chauffage);Régulation centrale automatique;La régulation centrale automatique pour une zone de système thermo-actif (qui comprend toutes les pièces qui bénéficient de la même température d’eau distribuée) est en général une boucle de régulation de température d’eau distribuée dont le point de consigne dépend de la température extérieure filtrée, par exemple la moyenne des 24 heures précédentes.;OUI;;
1.3.1;1. Régulation du chauffage;1.3 Régulation de la température de l'eau chaude du réseau de distribution (en départ ou en retour);Régulation en Fonction de la température extérieure;La température distribuée dépend de la température extérieure et la température de distribution est régulée en fonction d’une loi d’eau linéaire.;OUI;;
1.4.1;1. Régulation du chauffage;1.4 Régulation des pompes de distribution du réseau;Commande de mise en marche/arrêt;Les pompes sont arrêtées en absence de besoin de chauffage pour réduire la demande en énergie auxiliaire des pompes. Cependant elles peuvent fonctionner sans régulation de vitesse à leur point de fonctionnement nominal.;OUI;;
1.4.a.3;1. Régulation du chauffage;1.4.a Equilibrage hydronique du système de distribution de chaleur (y compris équilibrage du côté de l'émission);Equilibrage statique de chaque émetteur et dynamique du groupe;Un équilibrage dynamique est mis en œuvre par départs, colonnes et antennes (par exemple avec des régulateurs de pression différentielle).;OUI;;
1.5.1;1. Régulation du chauffage;1.5 Régulation intermittente de l’émission et/ou de la distribution;Régulation automatique avec programme fixe;La régulation terminale (de l’émission) et/ou de la distribution intègre une programmation selon un pas minimum horaire. Le système permet la programmation selon, au moins, les quatre allures suivantes : « confort », « réduit », « hors gel » et « arrêt ». Il permet une commutation automatique entre l'ensemble de ces allures. Les programmes horaires seront paramétrés pour correspondre aux usages de la pièce et/ou de la zone;OUI;;
1.6.1;1. Régulation du chauffage;1.6 Commande de générateurs de chaleur (combustion et chauffage urbain);Régulation de température variable en Fonction de la température extérieure;Régulation des températures de départ des réseaux de distribution en fonction de lois d’eau sur la base de la température extérieure.;OUI;;
1.7.1;1. Régulation du chauffage;1.7 Régulation des générateurs de chaleur (pompe à chaleur);Régulation de température variable en Fonction de la température extérieure;Régulation de la température du départ du générateur ou des températures de départ des réseaux de distribution en fonction de lois d’eau sur la base de la température extérieure.;OUI;;
1.8.1;1. Régulation du chauffage;1.8 Régulation des générateurs de chaleur (unité extérieure);Régulation à plusieurs niveaux (paliers) du générateur de chaleur;Régulation multi-niveaux (par paliers) de la capacité des générateurs de chaleur en Fonction de la charge ou de la demande (par exemple marche/arrêt de plusieurs compresseurs);;OUI;
1.9.1;1. Régulation du chauffage;1.9 Ordre de priorité des différents générateurs de chaleur;Régulation basée sur une liste fixe des priorités;Cela peut, par exemple, être une pompe à chaleur avant une chaudière à eau chaude.;OUI;;
1.10.1;1. Régulation du chauffage;1.10 Régulation du Fonctionnement du stockage de l’énergie thermique (TES);Régulation du stockage au moyen de 2 capteurs;Régulation du stockage au moyen de 2 capteurs. Le stockage d’énergie est régulé sur la base d’un capteur de température en partie haute du ballon et d’un capteur de milieu de ballon. L’échelonnement des capteurs permet de connaitre le niveau de charge du ballon. Sur la base de cette information, il est possible de commuter les générateurs moins fréquemment et d'obtenir ain;;OUI;
2.1.1;2. Régulation de l’alimentation en eau chaude sanitaire;2.1 Régulation du stockage de l’eau chaude sanitaire avec chauffage électrique direct ou pompe à chaleur électrique intégrée;Commande automatique de mise en marche/arrêt et programmation du temps de charge;Le préparateur d’eau chaude sanitaire sera piloté afin de ne réaliser qu’une seule chauffe entre deux périodes d’utilisation. La température d’ECS du préparateur devra avoir atteint sa température de consigne au début de la période d’utilisation. La programmation devra donc tenir compte du temps de charge. La charge permanente du préparateur ECS ainsi que la charge sur simple contact jour/nuit ne sont pas acceptées.;OUI;;
2.2.1;2. Régulation de l’alimentation en eau chaude sanitaire;2.2 Régulation du stockage de l’eau chaude sanitaire en utilisant un générateur d’eau chaude;Commande automatique de mise en marche/arrêt et programmation du temps de charge;Les préparateurs d’eau chaude sanitaire seront pilotés afin de ne réaliser qu’une seule chauffe entre deux périodes d’utilisation. Les préparateurs devront être à température au début de la période d’utilisation. La programmation devra donc tenir compte du temps de charge. La charge permanente du préparateur ECS, régulé avec un thermostat, n’est pas acceptée.;OUI;;
